"Golden Gate","Richmond Bridge","Carquinez Bridge","Benicia Bridge","Decker_IsS","ThreeMile","SR_RioVista","SR_Mouth","SR_SteamboatSl","Georg_SloughN","SR_DCC","SR_BlwSteam","SR_SutterSl","SR_Freeport","UpRiver"
0,1,79,17,16.5,0,4.5,0,0,0,0,0,0,0,0
0,6,56,8,6,0,0,0,0,0,0,0,0,0,0
45,11,35.8333333333333,6.83333333333333,6.16666666666667,0,8.66666666666667,1.83333333333333,7.66666666666667,0.5,0.5,0,0,0,0
1,11,14,9.5,5.2,0,16.7,0,2.33333333333333,0.2,0.533333333333333,1.03333333333333,0,1,8.5
31,8,39.5,30.5,0,0,0,0,0,0,0,0,0,0,0
11,2,34.5,15.5,3.16666666666667,0,2.41666666666667,0.583333333333333,0.333333333333333,0,0.25,0.75,0.5,1,13
26,6,112.5,12.5,0,0,0,0,0,0,0,0,0,0,0
0,0,13.5,70.5,3.33333333333333,0,1.83333333333333,0.5,1.33333333333333,0,0.5,0.5,1,3,10
0,0,10,12.5,4,0,5,0,3.5,0,0,0,0,0,0
0,0,2.5,1.5,4.75,0,1,0.5,0.25,0,0.75,1.25,0,6.5,20
0,0,5,14,9.83333333333333,0,5.08333333333333,0.25,0.333333333333333,0,0.25,0.25,1,1,4
0,0,10,14,21,0,0,0,0,0,0,0,0,0,0
0,0,9.5,9.5,10.5,0,1.5,0,0,0,0,0,0,0,0
0,0,6.5,58.5,10,0.5,1.5,0,0,0,0,0,0,0,0
0,0,4.5,21.5,7,0,1,0,0,0,0,0,0,0,0
0,0,8.5,5.5,11.3333333333333,0,1.66666666666667,1.16666666666667,0.333333333333333,0,0.5,0,0.5,0.5,21
0,2,3,3,40,0,2,0,0,0,0,0,0,0,0
10.5,17,11.5,8,1,0,2,0,0,1,0.333333333333333,0.333333333333333,1,1.33333333333333,16
0,1,13,15,10,0,1,0,0,0,0,0,0,0,0
0,0,15.5,17.5,0,0,0,0,0,0,0,0,0,0,0
0,0,21,14,15.5833333333333,1.25,8.91666666666667,2.58333333333333,2.66666666666667,0,0.5,0.5,0,0,0
0,1,6.5,15.5,21.5,0,0.5,0,0,0,0,0,0,0,0
0,0,10,18,18.5,3,5.5,0,0,0,0,0,0,0,0
0,0,7.5,16.5,17,0,0,0,0,0,0,0,0,0,0
1,9,17,18,13,0,0,0,0,0,0,0,0,0,0
0,0,43,13,20.5,0,2.5,0,0,0,0,0,0,0,0
0,0,16.5,16.5,27,0,0,0,0,0,0,0,0,0,0
