"fishWYIDs","tagging.date","release.location","sex","fishlength","length.type","life.stage","detect.length","wateryear","studyID","wyclass","tagging.year","tag_age","age_est","age_group","fishID","n_wy","release.region"
"WST00082_2016",2010-10-06,"Grizzly_Bay","U",1170,"FL","","214","2016","WS-UCD-ACE-SFBay-2010","BN",2010,11,17,"Above Slot","WST00082",2,"DELTA"
"WST00083_2011",2010-10-06,"Grizzly_Bay","U",1370,"FL","","316","2011","WS-UCD-ACE-SFBay-2010","W",2010,14,15,"Fishery","WST00083",1,"DELTA"
"WST00086_2012",2010-10-07,"Grizzly_Bay","U",1220,"FL","","352","2012","WS-UCD-ACE-SFBay-2010","BN",2010,11,13,"Fishery","WST00086",2,"DELTA"
"WST00086_2013",2010-10-07,"Grizzly_Bay","U",1220,"FL","","355","2013","WS-UCD-ACE-SFBay-2010","D",2010,11,14,"Fishery","WST00086",2,"DELTA"
"WST00087_2011",2010-10-12,"Grizzly_Bay","U",1000,"FL","","336","2011","WS-UCD-ACE-SFBay-2010","W",2010,8,9,"Below Slot","WST00087",2,"DELTA"
"WST00087_2012",2010-10-12,"Grizzly_Bay","U",1000,"FL","","327","2012","WS-UCD-ACE-SFBay-2010","BN",2010,8,10,"Below Slot","WST00087",2,"DELTA"
"WST00088_2011",2010-10-12,"Grizzly_Bay","U",1570,"FL","","337","2011","WS-UCD-ACE-SFBay-2010","W",2010,17,18,"Above Slot","WST00088",2,"DELTA"
"WST00088_2012",2010-10-12,"Grizzly_Bay","U",1570,"FL","","327","2012","WS-UCD-ACE-SFBay-2010","BN",2010,17,19,"Above Slot","WST00088",2,"DELTA"
"WST00089_2011",2010-10-13,"Grizzly_Bay","U",1210,"FL","","342","2011","WS-UCD-ACE-SFBay-2010","W",2010,11,12,"Fishery","WST00089",1,"DELTA"
"WST00090_2012",2010-10-14,"Grizzly_Bay","U",1150,"FL","","350","2012","WS-UCD-ACE-SFBay-2010","BN",2010,10,12,"Fishery","WST00090",4,"DELTA"
"WST00090_2014",2010-10-14,"Grizzly_Bay","U",1150,"FL","","275","2014","WS-UCD-ACE-SFBay-2010","C",2010,10,14,"Fishery","WST00090",4,"DELTA"
"WST00090_2015",2010-10-14,"Grizzly_Bay","U",1150,"FL","","350","2015","WS-UCD-ACE-SFBay-2010","C",2010,10,15,"Fishery","WST00090",4,"DELTA"
"WST00090_2016",2010-10-14,"Grizzly_Bay","U",1150,"FL","","356","2016","WS-UCD-ACE-SFBay-2010","BN",2010,10,16,"Above Slot","WST00090",4,"DELTA"
"WST00091_2011",2010-10-14,"Grizzly_Bay","U",1090,"FL","","345","2011","WS-UCD-ACE-SFBay-2010","W",2010,10,11,"Fishery","WST00091",7,"DELTA"
"WST00091_2012",2010-10-14,"Grizzly_Bay","U",1090,"FL","","358","2012","WS-UCD-ACE-SFBay-2010","BN",2010,10,12,"Fishery","WST00091",7,"DELTA"
"WST00091_2013",2010-10-14,"Grizzly_Bay","U",1090,"FL","","319","2013","WS-UCD-ACE-SFBay-2010","D",2010,10,13,"Fishery","WST00091",7,"DELTA"
"WST00091_2014",2010-10-14,"Grizzly_Bay","U",1090,"FL","","355","2014","WS-UCD-ACE-SFBay-2010","C",2010,10,14,"Fishery","WST00091",7,"DELTA"
"WST00091_2015",2010-10-14,"Grizzly_Bay","U",1090,"FL","","364","2015","WS-UCD-ACE-SFBay-2010","C",2010,10,15,"Fishery","WST00091",7,"DELTA"
"WST00091_2016",2010-10-14,"Grizzly_Bay","U",1090,"FL","","360","2016","WS-UCD-ACE-SFBay-2010","BN",2010,10,16,"Above Slot","WST00091",7,"DELTA"
"WST00091_2017",2010-10-14,"Grizzly_Bay","U",1090,"FL","","364","2017","WS-UCD-ACE-SFBay-2010","W",2010,10,17,"Above Slot","WST00091",7,"DELTA"
"WST00092_2011",2010-10-14,"Grizzly_Bay","U",980,"FL","","300","2011","WS-UCD-ACE-SFBay-2010","W",2010,8,9,"Below Slot","WST00092",1,"DELTA"
"WST00096_2012",2011-08-03,"San_Pablo_Bay","U",1590,"FL","","301","2012","WS-UCD-ACE-SFBay-2011","BN",2011,17,18,"Above Slot","WST00096",1,"DELTA"
